Model,Accuracy,Precision,Recall,F1,Brier,AUC,CSI,POD,FAR,TSS,HSS
SWPC,0.81,0.55,0.43,0.48,0.13,0.83,0.32,0.43,0.45,0.34,0.37
Persistence,0.79,0.49,0.49,0.49,0.21,0.68,0.33,0.49,0.51,0.36,0.36
Climatology,0.79,0.5,0.37,0.43,0.14,0.74,0.27,0.37,0.5,0.27,0.3
Naive_Bayes,0.76,0.44,0.67,0.53,0.16,0.81,0.36,0.67,0.56,0.45,0.38
Logistic_Reg,0.81,0.62,0.15,0.24,0.13,0.81,0.14,0.15,0.38,0.13,0.18
