Model,Accuracy,Precision,Recall,F1,Brier,AUC,CSI,POD,FAR,TSS,HSS
SWPC,0.97,0.29,0.05,0.08,0.02,0.81,0.04,0.05,0.71,0.04,0.07
Persistence,0.96,0.19,0.19,0.19,0.04,0.58,0.1,0.19,0.81,0.16,0.16
Climatology,0.97,0.09,0.04,0.05,0.03,0.59,0.03,0.04,0.91,0.03,0.04
Naive_Bayes,0.97,0.0,0.0,0.0,0.03,0.73,0.0,0.0,1.0,-0.0,-0.0
Logistic_Reg,0.97,0.0,0.0,0.0,0.02,0.74,0.0,0.0,0.0,0.0,0.0
