Model,Accuracy,Precision,Recall,F1,Brier,AUC,CSI,POD,FAR,TSS,HSS
SWPC,0.84,0.62,0.53,0.57,0.11,0.87,0.4,0.53,0.38,0.44,0.47
Persistence,0.82,0.57,0.57,0.57,0.18,0.73,0.4,0.57,0.43,0.46,0.46
Climatology,0.81,0.55,0.41,0.47,0.13,0.77,0.31,0.41,0.45,0.32,0.36
Naive_Bayes,0.77,0.45,0.7,0.55,0.16,0.83,0.38,0.7,0.55,0.48,0.4
Logistic_Reg,0.81,0.65,0.16,0.25,0.13,0.84,0.15,0.16,0.35,0.14,0.19
