Model,Accuracy,Precision,Recall,F1,Brier,AUC,CSI,POD,FAR,TSS,HSS
SWPC,0.97,0.39,0.08,0.13,0.02,0.87,0.07,0.08,0.61,0.08,0.12
Persistence,0.96,0.21,0.21,0.21,0.04,0.6,0.12,0.21,0.79,0.19,0.19
Climatology,0.97,0.14,0.05,0.07,0.03,0.61,0.04,0.05,0.86,0.04,0.06
Naive_Bayes,0.97,0.0,0.0,0.0,0.03,0.75,0.0,0.0,1.0,-0.0,-0.0
Logistic_Reg,0.97,0.0,0.0,0.0,0.02,0.77,0.0,0.0,0.0,0.0,0.0
